,Lagodon rhomboides,Bairdiella chrysoura,Orthopristis chrysoptera,Leiostomus xanthurus,Archosargus probatocephalus,Cynoscion nebulosus,Sardine sp,Opsanus beta,Centropomus undecimalis,Ariopsis felis,Synodus foetens,Acanthostracion quadricornis,Bathygobius soporator,Menidia nan,Eucinostomus nan,Strongylura nan,Syngnathus nan,Mugil nan,Oligoplites saurus,Lutjanus griseus,Chilomycterus schoepfii,Chasmodes saburrae,Brevoortia sp,Gobiosoma nan,Achirus lineatus,Lucania parva,Diapterus auratus,Eugerres plumieri,Sarotherodon melanotheron,Microgobius gulosus,Haemulon plumierii,Chaetodipterus faber,Fundulus similis,Elops saurus,Floridichthys carpio,Myrophis punctatus,Selene vomer,Hippocampus zosterae,Sphyraena borealis,Hippocampus erectus,Short-Snouted Pipefish,Monacanthus ciliatus,Symphurus plagiusa,Prionotus scitulus,Mycteroperca microlepis,Sphoeroides nephelus,Prionotus tribulus,Hypanus sabinus,Stephanolepis hispida,Lutjanus synagris,Diplodus holbrookii,Pogonias cromis,Paralichthys albigutta,Fundulus grandis,Sciaenops ocellatus,Urophycis floridana,Menticirrhus saxatilis,Astroscopus y-graecum,Rhinoptera bonasus,Hypanus americanus,Aluterus schoepfii,Nicholsina usta,Calamus arctifrons,Hypanus say,Negaprion brevirostris,Hemirhamphus meeki
2025-05-27 Night,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-02 Day,1183,41,73,33,13,11,10,0,0,0,0,0,0,610,71,4,4,1,148,52,82,98,11,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-02 Night,621,44,69,16,19,11,7,0,1,0,2,1,0,168,85,1,8,0,2,1,0,1,0,1,84,212,18,23,10,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-09 Day,1733,98,239,12,31,6,9,1,0,0,0,0,0,0,145,18,6,0,6,4,0,3,0,3,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-09 Night,397,157,5,2,12,9,0,3,1,0,0,1,0,161,69,4,7,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-16 Night,356,78,67,51,15,7,12,4,4,2,1,0,0,112,156,1,12,3,2,4,4,0,0,0,1,0,0,0,0,0,0,32,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 Day,648,174,23,11,5,19,2,0,0,0,1,0,0,0,175,23,7,3,4,2,2,2,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 Night,444,142,105,5,13,33,3,12,2,4,1,0,0,101,218,6,31,6,7,3,1,0,0,2,0,0,1,0,0,1,1,3,0,0,20,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-30 Day,952,658,9,3,6,23,0,0,0,0,0,0,0,178,168,9,10,0,7,4,1,1,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-30 Night,208,60,20,9,9,12,5,4,2,0,0,0,0,48,89,4,3,0,1,1,3,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-07 Day,716,295,20,3,0,19,8,0,0,0,0,0,0,6,450,8,15,0,5,1,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-07 Night,488,62,19,0,5,19,1,4,0,0,0,1,0,64,100,5,17,1,1,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-28 Night,297,41,3,1,1,8,10,1,3,3,0,0,1,21,330,6,22,2,4,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-04 Day,481,554,8,4,1,17,253,0,0,0,0,0,0,51,312,7,4,0,3,0,1,4,0,1,0,6,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-04 Night,94,78,1,2,0,7,0,2,0,0,0,1,0,59,206,8,20,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-11 Day,365,260,3,3,0,31,24,0,0,0,0,0,0,0,313,25,13,1,4,3,1,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-11 Night,330,53,3,0,2,15,18,1,3,0,0,0,0,86,648,3,32,12,2,0,0,1,0,5,1,3,3,1,2,3,0,1,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-18 Night,261,52,4,1,0,16,10,0,1,0,0,2,0,28,559,6,15,6,3,0,0,0,0,0,1,2,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-03 Night,264,101,4,0,0,22,12,0,0,1,0,1,0,74,1231,4,5,0,1,2,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-10 Day,154,70,1,0,0,38,325,0,0,0,0,0,0,0,1389,29,7,3,3,2,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-10 Night,224,37,3,1,2,18,102,1,0,0,0,0,0,183,739,6,8,2,4,0,2,0,0,2,9,11,0,0,0,2,0,0,3,0,1,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-17 Day,85,85,0,0,0,26,2113,0,0,0,0,1,0,3,585,7,4,2,2,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-17 Night,344,55,4,0,2,24,24,4,0,1,1,0,0,1,1485,2,10,0,1,0,0,0,0,1,1,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-24 Day,60,16,1,0,0,30,53,0,0,0,2,0,0,19,972,13,9,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-24 Night,132,30,4,0,0,14,27,0,0,0,0,0,0,27,695,4,16,0,4,0,4,0,0,1,8,9,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-01 Day,104,41,1,1,1,12,651,0,0,0,0,2,0,7,733,7,10,0,9,0,7,2,0,0,0,8,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-01 Night,165,28,0,0,0,13,31,0,0,0,1,2,0,0,700,3,6,0,0,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,95,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-08 Day,192,77,1,0,2,14,401,0,0,0,1,2,0,0,1018,1,9,0,4,1,2,7,0,0,2,16,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-08 Night,135,20,2,1,0,14,60,0,0,0,3,5,0,1,1212,2,4,2,0,0,2,0,0,2,3,2,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-15 Day,140,43,0,0,0,21,410,0,0,0,1,3,0,27,2585,6,34,0,4,0,0,5,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
