DateTime,WSPD_mps,WDIR_deg,SST_c
5/27/25 22:00,5.9,258,31.3
6/2/25 13:30,3.6,103,29.5
6/2/25 22:00,1.7,154,29.5
6/9/25 13:30,4.5,171,29.3
6/9/25 22:00,4.6,262,30.5
6/16/25 22:00,4.3,266,30.7
6/23/25 13:30,2.4,91,29.5
6/23/25 22:00,4.8,205,30.8
6/30/25 13:30,3.7,343,29.7
6/30/25 22:00,5.6,256,30.3
7/7/25 13:30,5.6,213,29.9
7/7/25 22:00,4.4,236,30.5
7/28/25 22:00,5.4,179,32.2
8/4/25 13:30,5,166,32.8
8/4/25 22:00,5.4,246,33.8
8/11/25 13:30,4.3,158,30.2
8/11/25 22:00,6.3,225,30.4
8/18/25 22:00,4.6,27,32.8
9/3/25 22:00,2.4,282,30.4
9/10/25 13:30,2.1,16,28.9
9/10/25 22:00,1.6,49,29.3
9/17/25 13:30,5.3,61,28.9
9/17/25 22:00,2.9,106,29.2
9/24/25 13:30,1.4,89,28.5
9/24/25 22:00,1,122,29.5
10/1/25 13:30,4.7,32,29.5
10/1/25 22:00,3.7,276,30.4
10/8/25 13:30,3.7,40,27.5
10/8/25 22:00,4.8,69,28.1
10/15/25 13:30,4.3,34,26.7
10/15/25 22:00,6.8,50,27.4
10/22/25 13:30,1.9,5,25.8
10/22/25 22:00,2.3,308,26.9
10/29/25 13:30,2.2,57,25
11/5/25 13:30,4.1,38,22.1
11/5/25 22:00,2.1,26,22.7
11/12/25 13:30,3.3,26,20.5
11/12/25 22:00,1.4,167,21.3
11/19/25 13:30,2.3,49,20.7
11/19/25 22:00,2.9,313,21.3
12/3/25 13:30,1.4,2,20.1
12/3/25 22:00,4.1,286,20.9
12/10/25 22:00,1.4,281,21.3
1/7/26 13:30,1.2,176,19.6
1/7/26 22:00,2.9,254,20.7
1/14/26 22:00,3,246,19.3
1/21/26 22:00,5.2,51,15.7
2/11/26 13:30,0.8,185,14.7
2/18/26 13:30,1.5,150,18.2
2/18/26 22:00,5.4,212,20.2
2/25/26 22:00,3.3,249,17.9
3/4/26 13:30,2.9,65,20.6
3/4/26 22:00,3.8,50,21.3
3/11/26 13:30,4.2,171,23.8
3/11/26 22:00,5.9,224,25.8
3/18/26 13:30,4.8,10,21.3
3/18/26 22:00,3.9,16,21.5
3/25/26 13:30,5.2,41,21.2
4/1/26 13:30,3.6,107,23.8
4/1/26 22:00,4,100,24.5
4/8/26 13:30,8.4,53,24.4
4/8/26 22:00,7.8,68,24.1
4/15/26 13:30,2.7,105,24.1
4/15/26 22:00,5.5,289,25.6
4/29/26 13:30,1.2,113,25.8
4/29/26 22:00,4.3,254,27.2
5/6/26 13:30,3.7,169,25.6
5/6/26 22:00,4.6,249,26
5/13/26 13:30,2,114,27.7
5/13/26 22:00,4.8,259,28.3
5/27/26 13:30,4.3,145,29.4
5/27/26 22:00,6.8,236,30.9
